procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 202136  38720 1572704   0    0     0    60 37955 84530 17 28 55 0 0  0
 3  0      0 201912  38720 1573268   0    0     0     0 36844 81485 17 28 55 0 0  0
 8  0      0 201408  38720 1574184   0    0     0    52 44974 98781 18 26 56 0 0  0
 8  0      0 201152  38720 1574956   0    0     0     0 37445 82054 16 25 60 0 0  0
 3  0      0 199444  38720 1575800   0    0     0    48 41062 90234 17 29 54 0 0  0
 4  0      0 199192  38728 1576692   0    0     0    48 40571 87814 17 27 56 0 0  0
 0  0      0 198688  38736 1577460   0    0     0    60 41474 92229 19 29 52 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 198464  38736 1578364   0    0     0     0 36965 83439 14 24 62 0 0  0
 4  0      0 197484  38736 1578924   0    0     0    52 40689 88599 15 24 61 0 0  0
 1  0      0 196028  38736 1579740   0    0     0     0 38728 86806 13 22 65 0 0  0
 8  0      0 195048  38736 1580636   0    0     0    56 39938 91080 17 30 53 0 0  0
 3  0      0 193536  38740 1581396   0    0     0    24 39876 88758 16 26 58 0 0  0
11  0      0 191548  38748 1582268   0    0     0    72 40729 92268 17 25 58 0 0  0
 6  0      0 189532  38748 1583024   0    0     0     0 36314 80929 14 23 63 0 0  0
 8  0      0 187040  38748 1583636   0    0     0    64 40303 92478 15 26 59 0 0  0
11  0      0 185052  38748 1584648   0    0     0 16452 39114 86511 16 26 59 0 0  0
 5  0      0 184548  38760 1585432   0    0     0   100 41377 92688 16 26 58 0 0  0
 2  0      0 183568  38760 1586184   0    0     0     0 39469 88225 17 24 59 0 0  0
 2  0      0 182812  38760 1587028   0    0     0    28 39991 87830 17 28 55 0 0  0
 0  0      0 182560  38760 1587856   0    0     0     0 36739 83128 16 24 60 0 0  0
 7  0      0 182084  38760 1588440   0    0     0    56 37748 86538 17 25 59 0 0  0
 8  0      0 181356  38768 1589100   0    0     0  7776 35726 79672 14 22 65 0 0  0
 4  0      0 180432  38776 1589704   0    0     0    72 38075 83700 18 27 55 0 0  0
11  0      0 268564  38776 1493284   0    0     0     0 39317 86554 17 27 56 0 0  0
 6  0      0 268184  38776 1494008   0    0     0    28 39396 89879 17 28 55 0 0  0
 2  0      0 267932  38776 1494684   0    0     0    40 41707 91129 16 27 56 0 0  0
 4  0      0 267204  38776 1495504   0    0    92    24 39203 83417 16 26 57 0 0  0
 3  0      0 266952  38784 1496236   0    0     0    60 37906 83814 15 24 61 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 266448  38784 1496948   0    0     0    24 40648 90008 18 26 56 0 0  0
 7  0      0 265944  38784 1497820   0    0     0     0 39752 87363 15 25 61 0 0  0
 7  0      0 265692  38792 1498548   0    0     0    88 40396 88647 17 27 56 0 0  0
14  0      0 265468  38792 1499456   0    0     0     0 38021 82120 16 26 57 0 0  0
 4  0      0 264992  38792 1500180   0    0     0    48 39088 87589 18 27 54 0 0  0
 9  0      0 264992  38792 1500844   0    0     0     0 36864 79833 12 22 66 0 0  0
 1  0      0 264992  38792 1501616   0    0     0    24 39092 87996 17 24 59 0 0  0
 0  0      0 264544  38800 1502320   0    0     0    68 36705 80049 15 25 59 0 0  0
 6  0      0 264320  38800 1503164   0    0     0    28 40034 89767 18 29 54 0 0  0
 9  0      0 264320  38800 1504036   0    0     0     0 39423 87371 16 25 59 0 0  0
 7  0      0 263592  38800 1504584   0    0     0    48 39105 84978 16 24 60 0 0  0
 7  0      0 263340  38800 1505528   0    0     0     0 36675 83375 17 25 58 0 0  0
 6  0      0 263340  38812 1506372   0    0     0   108 39610 88222 15 24 60 0 0  0
 0  0      0 262640  38812 1507044   0    0     0     0 40735 90098 16 26 57 0 0  0
 0  0      0 262164  38812 1507968   0    0     0    80 40964 90350 17 27 55 0 0  0
 9  0      0 260232  38812 1508692   0    0     0     0 40735 91125 16 26 58 0 0  0
 7  0      0 259504  38820 1509524   0    0     0    56 38800 84985 15 23 62 0 0  0
 3  0      0 258804  38820 1510184   0    0     0    40 39609 87313 15 25 60 0 0  0
 2  0      0 258072  38820 1511196   0    0     0 16456 41134 90477 19 29 52 0 0  0
 4  0      0 257848  38820 1512056   0    0     0     0 40020 87990 17 27 57 0 0  0
 2  0      0 257344  38820 1512872   0    0     0    24 37665 85996 16 27 58 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
